epoch,acc,categorical_crossentropy,categorical_focal_loss_fixed,loss,val_acc,val_categorical_crossentropy,val_categorical_focal_loss_fixed,val_loss
0,0.5073503827418232,1.9870313181591763,1.7013071741838794,1.7971799751910884,0.6339570063694268,1.3992114408760314,1.1517152243359075,1.2469312560026813
1,0.6993845685455811,1.1645764444715543,0.8984587474796784,0.9928823461031532,0.7040207006369427,1.134893264740136,0.9151705676203321,1.008753781106062
2,0.7657989735560194,0.9050584712539519,0.6619817902312647,0.7547582598635116,0.7288017515923567,1.0272124884234872,0.8460077561770275,0.9379530475018131
3,0.8129566805845512,0.7262724444073111,0.5045554320183411,0.5957142131023301,0.7374601910828026,0.9826609545452579,0.8362887319485852,0.9266593904252265
4,0.8511003827418232,0.5796611653738082,0.38084108548377565,0.4704464073905367,0.7487062101910829,0.9392209273235054,0.8035746491069247,0.8924053146201334
5,0.9419145789839944,0.27748704124592044,0.14450043302273058,0.23312514289311426,0.7868232484076433,0.798883661912505,0.7221233933974224,0.8105419991881984
6,0.9669450243562978,0.19148393744757047,0.0849204125484256,0.17313337925933017,0.7910031847133758,0.8241497439563654,0.7845003682716637,0.8725073823503627
7,0.9789165796798887,0.1479675275070765,0.056833750091813295,0.1446331327595724,0.7847332802547771,0.862753921253666,0.8610523229192018,0.9486444510851696
8,0.9879849512874043,0.11421096042996284,0.0371372681960111,0.12451852223963561,0.7763734076433121,0.9012700528096241,0.9402105941134653,1.027379655913942
9,0.9935303583855254,0.08808848204152113,0.022869746653318066,0.1098227130823361,0.779359076433121,0.9441040480972096,1.0202876488873913,1.1070236411823589
10,0.9972381697981907,0.06720416729254862,0.01296978506824117,0.09965866804122925,0.7780652866242038,0.969220003504662,1.0655168522695067,1.1521605555039303
11,0.9980319241475296,0.06181996530887561,0.01057522237070918,0.09717369260539922,0.7832404458598726,0.9579707000665604,1.053656709232148,1.1402098067626831
12,0.9981950243562978,0.05858038919838502,0.00941801414588141,0.09592569095232292,0.7791600318471338,0.9652262447745936,1.0754351986061996,1.1618972086602715
13,0.9985103514265832,0.05602100547260515,0.008352184634451643,0.0947685580008463,0.7753781847133758,0.9912327996864441,1.108273501418958,1.194644425325333
14,0.9985429714683368,0.05462256896782021,0.008047267538861945,0.09437239040972545,0.78125,0.9934843535635881,1.111579698551992,1.1978590826320041
15,0.9987495650661099,0.05178476999421126,0.0070484942732107125,0.09328200406781816,0.778562898089172,0.9920559846291876,1.1238273148703728,1.210015014098708
16,0.9988909185803758,0.05022630771193018,0.0065546299463102985,0.09269633061183187,0.7798566878980892,0.9999712781541666,1.1360265671447585,1.2221223571497923
17,0.999151878914405,0.047998526527642915,0.005527751725815543,0.09157750041080832,0.7788614649681529,1.0191108901409587,1.161405190350903,1.247408870299151
